"IDG060. Live births by marital status and age of mother"

"Year";"Marital status of mother";"Total";"under 20";"20-24";"25-29";"30-34";"35-39";"40-44";"45+";"not specified"
"1929";"Total";35673;803;7215;10706;8520;5204;1885;350;990
"1929";"marital births";32825;...;...;...;...;...;...;...;...
"1929";"extra-marital births";2848;...;...;...;...;...;...;...;...
"1930";"Total";37835;922;7641;11438;9415;5653;2193;362;211
"1930";"marital births";34728;...;...;...;...;...;...;...;...
"1930";"extra-marital births";3107;...;...;...;...;...;...;...;...
"1931";"Total";36972;...;...;...;...;...;...;...;...
"1931";"marital births";33672;...;...;...;...;...;...;...;...
"1931";"extra-marital births";3300;...;...;...;...;...;...;...;...
"1932";"Total";37366;959;7838;10720;9269;5697;2146;347;390
"1932";"marital births";33805;...;...;...;...;...;...;...;...
"1932";"extra-marital births";3561;...;...;...;...;...;...;...;...
"1933";"Total";34576;884;6997;10160;8525;5417;1992;307;294
"1933";"marital births";31351;...;...;...;...;...;...;...;...
"1933";"extra-marital births";3225;...;...;...;...;...;...;...;...
"1934";"Total";33383;694;6896;9785;8471;5113;1880;280;264
"1934";"marital births";30425;...;...;...;...;...;...;...;...
"1934";"extra-marital births";2958;...;...;...;...;...;...;...;...
"1935";"Total";34419;753;6950;10321;8689;5370;1940;303;93
"1935";"marital births";31263;...;...;...;...;...;...;...;...
"1935";"extra-marital births";3156;...;...;...;...;...;...;...;...
"1936";"Total";35468;726;7036;10784;8913;5598;2055;265;91
"1936";"marital births";32091;...;...;...;...;...;...;...;...
"1936";"extra-marital births";3377;...;...;...;...;...;...;...;...
"1937";"Total";34863;890;6667;10775;8983;5433;1862;188;65
"1937";"marital births";31535;...;...;...;...;...;...;...;...
"1937";"extra-marital births";3328;...;...;...;...;...;...;...;...
"1938";"Total";36386;1193;6502;11375;9397;5733;1922;199;65
"1938";"marital births";32936;841;5557;10420;8787;5335;1791;188;17
"1938";"extra-marital births";3450;352;945;955;610;398;131;11;48
"1939";"Total";36932;1359;6286;11739;9545;5765;2012;183;43
