"IDG070. Live births by sex and age of mother"

"By age of mother (years)";"1929 Total";"1929 boys";"1929 girls";"1930 Total";"1930 boys";"1930 girls";"1931 Total";"1931 boys";"1931 girls";"1932 Total";"1932 boys";"1932 girls";"1933 Total";"1933 boys";"1933 girls";"1934 Total";"1934 boys";"1934 girls";"1935 Total";"1935 boys";"1935 girls";"1936 Total";"1936 boys";"1936 girls";"1937 Total";"1937 boys";"1937 girls";"1938 Total";"1938 boys";"1938 girls";"1939 Total";"1939 boys";"1939 girls";"1940 Total";"1940 boys";"1940 girls";"1941 Total";"1941 boys";"1941 girls";"1942 Total";"1942 boys";"1942 girls";"1943 Total";"1943 boys";"1943 girls";"1944 Total";"1944 boys";"1944 girls";"1945 Total";"1945 boys";"1945 girls";"1946 Total";"1946 boys";"1946 girls";"1947 Total";"1947 boys";"1947 girls";"1948 Total";"1948 boys";"1948 girls";"1949 Total";"1949 boys";"1949 girls";"1950 Total";"1950 boys";"1950 girls";"1951 Total";"1951 boys";"1951 girls";"1952 Total";"1952 boys";"1952 girls";"1953 Total";"1953 boys";"1953 girls";"1954 Total";"1954 boys";"1954 girls";"1955 Total";"1955 boys";"1955 girls";"1956 Total";"1956 boys";"1956 girls";"1957 Total";"1957 boys";"1957 girls";"1958 Total";"1958 boys";"1958 girls";"1959 Total";"1959 boys";"1959 girls";"1960 Total";"1960 boys";"1960 girls";"1961 Total";"1961 boys";"1961 girls";"1962 Total";"1962 boys";"1962 girls";"1963 Total";"1963 boys";"1963 girls";"1964 Total";"1964 boys";"1964 girls";"1965 Total";"1965 boys";"1965 girls";"1966 Total";"1966 boys";"1966 girls";"1967 Total";"1967 boys";"1967 girls";"1968 Total";"1968 boys";"1968 girls";"1969 Total";"1969 boys";"1969 girls";"1970 Total";"1970 boys";"1970 girls";"1971 Total";"1971 boys";"1971 girls";"1972 Total";"1972 boys";"1972 girls";"1973 Total";"1973 boys";"1973 girls";"1974 Total";"1974 boys";"1974 girls";"1975 Total";"1975 boys";"1975 girls";"1976 Total";"1976 boys";"1976 girls";"1977 Total";"1977 boys";"1977 girls";"1978 Total";"1978 boys";"1978 girls";"1979 Total";"1979 boys";"1979 girls";"1980 Total";"1980 boys";"1980 girls";"1981 Total";"1981 boys";"1981 girls";"1982 Total";"1982 boys";"1982 girls";"1983 Total";"1983 boys";"1983 girls";"1984 Total";"1984 boys";"1984 girls";"1985 Total";"1985 boys";"1985 girls";"1986 Total";"1986 boys";"1986 girls";"1987 Total";"1987 boys";"1987 girls";"1988 Total";"1988 boys";"1988 girls";"1989 Total";"1989 boys";"1989 girls";"1990 Total";"1990 boys";"1990 girls";"1991 Total";"1991 boys";"1991 girls";"1992 Total";"1992 boys";"1992 girls";"1993 Total";"1993 boys";"1993 girls";"1994 Total";"1994 boys";"1994 girls";"1995 Total";"1995 boys";"1995 girls";"1996 Total";"1996 boys";"1996 girls";"1997 Total";"1997 boys";"1997 girls";"1998 Total";"1998 boys";"1998 girls";"1999 Total";"1999 boys";"1999 girls";"2000 Total";"2000 boys";"2000 girls";"2001 Total";"2001 boys";"2001 girls";"2002 Total";"2002 boys";"2002 girls";"2003 Total";"2003 boys";"2003 girls";"2004 Total";"2004 boys";"2004 girls";"2005 Total";"2005 boys";"2005 girls";"2006 Total";"2006 boys";"2006 girls";"2007 Total";"2007 boys";"2007 girls";"2008 Total";"2008 boys";"2008 girls";"2009 Total";"2009 boys";"2009 girls";"2010 Total";"2010 boys";"2010 girls";"2011 Total";"2011 boys";"2011 girls";"2012 Total";"2012 boys";"2012 girls";"2013 Total";"2013 boys";"2013 girls";"2014 Total";"2014 boys";"2014 girls";"2015 Total";"2015 boys";"2015 girls";"2016 Total";"2016 boys";"2016 girls";"2017 Total";"2017 boys";"2017 girls";"2018 Total";"2018 boys";"2018 girls"
"Total";35673;18327;17346;37835;19432;18403;36972;19209;17763;37366;19282;18084;34576;17776;16800;33383;17143;16240;34419;17687;16732;35468;18361;17107;34863;17871;16992;36386;18725;17661;36932;18815;18117;37493;19120;18373;36295;18691;17604;36370;18490;17880;35915;18556;17359;...;...;...;26217;13394;12823;30544;15702;14842;34832;17861;16971;35402;18349;17053;35671;18150;17521;33137;17090;16047;32764;16742;16022;32278;16493;15785;30986;16064;14922;33202;17094;16108;32968;16808;16160;32590;16560;16030;33714;17496;16218;35068;18180;16888;35028;17909;17119;35468;18115;17353;35993;18506;17487;35061;18418;16643;33843;17357;16486;33053;17000;16053;31212;16132;15080;31974;16284;15690;32232;16619;15613;32693;16866;15827;32915;16893;16022;34333;17604;16729;35239;17896;17343;35007;18168;16839;34008;17390;16618;34920;18050;16870;34810;17899;16911;34644;17905;16739;34240;17565;16675;34258;17529;16729;34683;17867;16816;35534;18227;17307;35732;18453;17279;37477;19273;18204;40572;20802;19770;40847;20832;20015;39751;20442;19309;41960;21415;20545;42135;21607;20528;41275;21297;19978;38922;20064;18858;37918;19336;18582;34633;17721;16912;31569;16193;15376;26759;13604;13155;24256;12438;11818;21595;11225;10370;19782;10273;9509;18830;9766;9064;18410;9444;8966;19396;9950;9446;20302;10384;9918;19726;10017;9709;20127;10313;9814;21151;10927;10224;20551;10595;9956;21879;11182;10697;22871;11642;11229;23958;12195;11763;24397;12442;11955;22044;11202;10842;19781;10246;9535;18825;9649;9176;19897;10257;9640;20596;10458;10138;21746;11230;10516;21979;11442;10537;21968;11385;10583;20828;10797;10031;19314;9995;9319
"under 15";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2;...;...;2;...;...;3;...;...;2;...;...;5;...;...;1;...;...;1;...;...;0;...;...;0;...;...;1;...;...;4;...;...;2;...;...;0;...;...;0;...;...;4;...;...;0;...;...;5;...;...;2;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;3;1;2;5;3;2;3;1;2;0;0;0;4;1;3;1;0;1;3;1;2;5;3;2;4;2;2;5;2;3;2;0;2;2;2;0;5;3;2;5;2;3;3;1;2;2;2;0;4;2;2;3;3;0;5;2;3;10;5;5;2;1;1;5;4;1;4;2;2;7;2;5;2;0;2
"15";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;11;-;-;5;-;-;4;-;-;5;-;-;7;-;-;9;-;-;6;-;-;8;-;-;9;-;-;12;-;-;9;-;-;10;-;-;14;-;-;9;-;-;15;-;-;12;-;-;18;-;-;19;-;-;20;-;-;20;-;-;28;-;-;24;-;-;21;-;-;27;-;-;27;-;-;17;-;-;15;-;-;12;-;-;26;-;-;25;-;-;30;-;-;27;-;-;24;7;17;24;10;14;18;6;12;20;15;5;16;10;6;16;8;8;30;15;15;30;17;13;28;18;10;29;23;6;22;13;9;26;16;10;36;23;13;27;13;14;36;24;12;27;11;16;20;8;12;26;16;10;17;10;7;15;6;9;17;13;4;18;11;7;18;11;7;24;11;13;11;7;4
"16";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;38;-;-;34;-;-;51;-;-;39;-;-;34;-;-;62;-;-;33;-;-;48;-;-;49;-;-;56;-;-;60;-;-;56;-;-;47;-;-;69;-;-;78;-;-;80;-;-;79;-;-;94;-;-;98;-;-;81;-;-;88;-;-;86;-;-;86;-;-;81;-;-;97;-;-;113;-;-;119;-;-;97;-;-;146;-;-;174;-;-;179;-;-;155;-;-;120;69;51;136;72;64;120;60;60;75;43;32;83;42;41;68;32;36;145;73;72;131;74;57;104;52;52;106;64;42;106;51;55;112;55;57;141;72;69;149;78;71;133;75;58;107;53;54;73;38;35;50;23;27;78;39;39;54;28;26;80;42;38;63;33;30;47;24;23;41;18;23;31;16;15
"17";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;191;-;-;152;-;-;141;-;-;132;-;-;155;-;-;209;-;-;182;-;-;190;-;-;211;-;-;228;-;-;243;-;-;226;-;-;219;-;-;248;-;-;252;-;-;250;-;-;314;-;-;327;-;-;350;-;-;325;-;-;347;-;-;314;-;-;387;-;-;385;-;-;436;-;-;431;-;-;427;-;-;479;-;-;511;-;-;575;-;-;549;-;-;520;-;-;400;221;179;341;169;172;290;153;137;238;132;106;219;112;107;243;119;124;335;181;154;333;193;140;303;156;147;327;156;171;318;161;157;327;171;156;320;172;148;342;172;170;355;181;174;245;118;127;184;98;86;199;99;100;176;86;90;167;91;76;123;55;68;123;62;61;110;62;48;106;48;58;80;32;48
"18";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;461;-;-;377;-;-;383;-;-;390;-;-;447;-;-;526;-;-;569;-;-;555;-;-;574;-;-;618;-;-;630;-;-;663;-;-;723;-;-;691;-;-;812;-;-;808;-;-;927;-;-;962;-;-;963;-;-;955;-;-;954;-;-;905;-;-;995;-;-;1004;-;-;1101;-;-;1081;-;-;1176;-;-;1196;-;-;1332;-;-;1293;-;-;1257;-;-;1124;-;-;801;400;401;738;391;347;620;325;295;523;274;249;482;259;223;471;260;211;654;345;309;584;293;291;598;321;277;590;307;283;594;298;296;587;304;283;625;316;309;570;282;288;577;288;289;464;255;209;355;194;161;325;167;158;279;146;133;262;141;121;256;133;123;233;131;102;179;84;95;156;84;72;136;74;62
"19";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;918;-;-;938;-;-;772;-;-;806;-;-;896;-;-;1033;-;-;1318;-;-;1273;-;-;1350;-;-;1376;-;-;1296;-;-;1427;-;-;1557;-;-;1600;-;-;1584;-;-;1764;-;-;1835;-;-;1931;-;-;2129;-;-;2025;-;-;1933;-;-;1993;-;-;1995;-;-;2001;-;-;2093;-;-;2178;-;-;2202;-;-;2207;-;-;2421;-;-;2339;-;-;2044;-;-;1795;-;-;1422;750;672;1172;611;561;1029;551;478;892;467;425;772;404;368;830;426;404;948;487;461;919;461;458;897;473;424;981;493;488;866;455;411;843;427;416;902;442;460;959;475;484;858;426;432;703;356;347;516;257;259;518;283;235;488;250;238;427;211;216;388;191;197;323;158;165;292;128;164;294;153;141;262;130;132
"20";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1737;-;-;1374;-;-;1483;-;-;1293;-;-;1287;-;-;1510;-;-;1718;-;-;2093;-;-;2073;-;-;2099;-;-;2067;-;-;2041;-;-;2143;-;-;2407;-;-;2451;-;-;2502;-;-;2593;-;-;2837;-;-;2760;-;-;2810;-;-;2823;-;-;2845;-;-;2851;-;-;2711;-;-;2791;-;-;2850;-;-;2972;-;-;2894;-;-;2895;-;-;2774;-;-;2689;-;-;2122;-;-;1743;893;850;1547;789;758;1385;717;668;1176;606;570;1039;527;512;1081;553;528;1117;555;562;1065;493;572;997;529;468;1158;595;563;1142;579;563;1087;551;536;1104;574;530;1139;617;522;1081;554;527;834;443;391;702;367;335;630;305;325;615;318;297;566;277;289;534;281;253;435;225;210;437;252;185;375;174;201;289;152;137
"21";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2220;-;-;1924;-;-;1625;-;-;1552;-;-;1582;-;-;1598;-;-;1944;-;-;2105;-;-;2640;-;-;2632;-;-;2461;-;-;2514;-;-;2590;-;-;2682;-;-;2871;-;-;2891;-;-;3029;-;-;3120;-;-;3261;-;-;3230;-;-;3303;-;-;3446;-;-;3422;-;-;3237;-;-;3289;-;-;3167;-;-;3337;-;-;3223;-;-;3146;-;-;2976;-;-;2815;-;-;2333;-;-;1964;1018;946;1702;896;806;1558;835;723;1329;714;615;1286;659;627;1250;638;612;1263;623;640;1182;604;578;1191;572;619;1233;624;609;1224;627;597;1216;628;588;1197;612;585;1269;651;618;1183;607;576;1004;509;495;821;424;397;694;354;340;760;389;371;675;336;339;651;326;325;557;297;260;509;276;233;461;229;232;375;198;177
"22";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2455;-;-;2309;-;-;2272;-;-;1919;-;-;2006;-;-;1956;-;-;1895;-;-;2307;-;-;2435;-;-;2858;-;-;2772;-;-;2728;-;-;2763;-;-;2721;-;-;2808;-;-;2985;-;-;2971;-;-;3075;-;-;3286;-;-;3265;-;-;3444;-;-;3740;-;-;3582;-;-;3537;-;-;3523;-;-;3303;-;-;3203;-;-;3184;-;-;3120;-;-;2863;-;-;2635;-;-;2277;-;-;1900;975;925;1744;921;823;1565;812;753;1465;755;710;1314;692;622;1279;687;592;1312;671;641;1236;651;585;1271;657;614;1256;637;619;1169;631;538;1258;646;612;1343;683;660;1215;652;563;1290;663;627;1097;581;516;971;475;496;780;416;364;804;418;386;817;426;391;738;353;385;725;366;359;663;355;308;534;272;262;423;223;200
