"IDG080. Live births by age of parents"

"Year";"Age of father";"Total";"age of mother under 20";"age of mother 20-24";"age of mother 25-29";"age of mother 30-34";"age of mother 35-39";"age of mother 40-44";"age of mother 45+";"age of mother not specified"
"2000";"Total";20302;2115;6465;6321;3454;1579;349;16;3
"2000";"age of father under 20";487;300;169;15;1;2;0;0;0
"2000";"age of father 20-24";4094;893;2454;627;89;27;3;1;0
"2000";"age of father 25-29";5860;307;2149;2720;550;121;13;0;0
"2000";"age of father 30-34";4015;70;551;1689;1418;261;26;0;0
"2000";"age of father 35-39";2099;22;167;482;774;584;67;3;0
"2000";"age of father 40-44";886;12;70;146;247;290;117;4;0
"2000";"age of father 45-49";277;1;19;51;55;83;64;4;0
"2000";"age of father 50+";147;2;12;29;45;41;17;1;0
"2000";"age of father not specified";2437;508;874;562;275;170;42;3;3
"2001";"Total";19726;2002;6168;5997;3580;1579;381;13;6
"2001";"age of father under 20";387;235;141;10;1;0;0;0;0
"2001";"age of father 20-24";3820;860;2268;553;105;33;1;0;0
"2001";"age of father 25-29";5622;265;2060;2639;546;104;7;1;0
"2001";"age of father 30-34";4132;63;598;1665;1511;260;35;0;0
"2001";"age of father 35-39";2046;20;172;424;778;568;84;0;0
"2001";"age of father 40-44";888;9;68;145;234;305;123;4;0
"2001";"age of father 45-49";286;3;16;47;72;79;67;2;0
"2001";"age of father 50+";156;2;19;27;35;47;21;5;0
"2001";"age of father not specified";2389;545;826;487;298;183;43;1;6
"2002";"Total";20127;1934;6043;6269;3878;1585;390;22;6
"2002";"age of father under 20";374;220;131;18;5;0;0;0;0
"2002";"age of father 20-24";3662;804;2135;591;104;24;4;0;0
"2002";"age of father 25-29";5689;314;2064;2600;592;104;15;0;0
"2002";"age of father 30-34";4414;70;627;1763;1641;271;40;2;0
"2002";"age of father 35-39";2142;22;171;501;816;561;68;3;0
"2002";"age of father 40-44";1061;12;79;183;277;346;156;8;0
"2002";"age of father 45-49";307;2;19;60;86;84;51;5;0
"2002";"age of father 50+";190;3;15;37;53;52;26;4;0
"2002";"age of father not specified";2288;487;802;516;304;143;30;0;6
"2003";"Total";21151;2038;6301;6477;4246;1640;419;17;13
"2003";"age of father under 20";377;243;114;13;7;0;0;0;0
"2003";"age of father 20-24";3771;826;2264;537;126;16;2;0;0
"2003";"age of father 25-29";5927;336;2140;2698;628;107;18;0;0
"2003";"age of father 30-34";4622;72;606;1852;1752;290;50;0;0
"2003";"age of father 35-39";2232;19;172;487;915;576;61;2;0
"2003";"age of father 40-44";953;4;53;153;287;324;127;5;0
"2003";"age of father 45-49";349;2;22;63;99;89;69;5;0
"2003";"age of father 50+";162;2;13;29;38;50;28;2;0
"2003";"age of father not specified";2758;534;917;645;394;188;64;3;13
"2004";"Total";20551;1908;6134;6134;4107;1797;450;17;4
"2004";"age of father under 20";389;254;127;6;1;1;0;0;0
"2004";"age of father 20-24";3689;826;2188;532;114;23;6;0;0
"2004";"age of father 25-29";5602;290;2089;2526;562;118;17;0;0
"2004";"age of father 30-34";4506;75;603;1788;1667;338;34;1;0
"2004";"age of father 35-39";2375;18;213;490;965;616;71;2;0
"2004";"age of father 40-44";1021;4;63;156;284;365;143;6;0
"2004";"age of father 45-49";365;1;29;45;104;110;73;3;0
"2004";"age of father 50+";158;2;12;28;38;41;34;3;0
"2004";"age of father not specified";2446;438;810;563;372;185;72;2;4
"2005";"Total";21879;1897;6150;6716;4657;2013;416;24;6
"2005";"age of father under 20";419;269;129;17;3;1;0;0;0
"2005";"age of father 20-24";3755;842;2212;572;106;20;3;0;0
"2005";"age of father 25-29";6043;258;2110;2859;661;141;14;0;0
"2005";"age of father 30-34";5030;76;672;1948;1921;373;40;0;0
"2005";"age of father 35-39";2794;25;174;590;1151;794;57;3;0
"2005";"age of father 40-44";1134;10;81;200;326;362;150;5;0
"2005";"age of father 45-49";465;3;27;71;138;141;76;9;0
"2005";"age of father 50+";230;0;15;48;65;59;37;6;0
"2005";"age of father not specified";2009;414;730;411;286;122;39;1;6
"2006";"Total";22871;2029;6438;6869;4893;2148;465;25;4
"2006";"age of father under 20";420;280;124;13;2;1;0;0;0
"2006";"age of father 20-24";3965;922;2314;600;99;25;4;1;0
"2006";"age of father 25-29";6182;312;2210;2817;695;132;15;1;0
"2006";"age of father 30-34";5455;78;764;2080;2051;439;42;1;0
"2006";"age of father 35-39";3045;22;235;632;1219;842;93;2;0
"2006";"age of father 40-44";1248;16;80;200;394;397;153;8;0
"2006";"age of father 45-49";449;2;30;76;128;128;81;4;0
"2006";"age of father 50+";228;1;15;43;70;55;38;6;0
"2006";"age of father not specified";1879;396;666;408;235;129;39;2;4
"2007";"Total";23958;2052;6556;7355;5027;2431;502;26;9
"2007";"age of father under 20";469;313;144;8;4;0;0;0;0
"2007";"age of father 20-24";4102;925;2389;644;105;33;6;0;0
"2007";"age of father 25-29";6516;321;2317;3008;716;135;19;0;0
"2007";"age of father 30-34";5652;76;785;2277;2012;458;41;3;0
"2007";"age of father 35-39";3341;13;235;685;1384;928;93;3;0
"2007";"age of father 40-44";1353;7;72;220;349;501;196;8;0
"2007";"age of father 45-49";522;11;29;81;141;169;85;6;0
"2007";"age of father 50+";233;2;15;39;78;69;26;4;0
"2007";"age of father not specified";1770;384;570;393;238;138;36;2;9
"2008";"Total";24397;1962;6507;7533;5298;2556;516;23;2
