Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
15-06-2019 11:26 pm,"16-06-2019 9:32 am","521","84","29","605","131","278","112"
14-06-2019 11:45 pm,"15-06-2019 9:55 am","527","83","28","610","114","299","114"
13-06-2019 10:58 pm,"14-06-2019 7:43 am","456","69","31","525","146","204","106"
12-06-2019 11:41 pm,"13-06-2019 8:04 am","440","63","34","503","103","233","104"
11-06-2019 10:35 pm,"12-06-2019 7:15 am","457","63","26","520","100","224","133"
10-06-2019 11:19 pm,"11-06-2019 6:29 am","368","62","27","430","76","217","75"
10-06-2019 12:28 am,"10-06-2019 8:01 am","394","59","26","453","100","214","80"
09-06-2019 12:36 am,"09-06-2019 9:01 am","406","98","33","504","76","217","113"
08-06-2019 3:59 pm,"08-06-2019 6:30 pm","143","8","1","151","N/A","N/A","N/A"
08-06-2019 12:09 am,"08-06-2019 9:20 am","463","88","26","551","83","287","93"
07-06-2019 12:02 am,"07-06-2019 8:02 am","421","59","34","480","114","200","107"
05-06-2019 11:08 pm,"06-06-2019 7:59 am","448","82","30","530","71","290","87"
05-06-2019 2:52 pm,"05-06-2019 5:02 pm","119","8","1","130","N/A","N/A","N/A"
04-06-2019 10:49 pm,"05-06-2019 10:52 am","600","123","39","723","142","303","155"
03-06-2019 11:55 pm,"04-06-2019 6:15 am","323","57","24","380","46","235","42"
03-06-2019 11:55 am,"04-06-2019 6:15 am","323","57","24","380","46","235","42"
